UUID,Trial #,Chart Type,Actual,Reported,Log Base 2 Error
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,49,Bar Chart,1,55,5.758223215
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,57,Bar Chart,11,55,5.463524373
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,29,Bar Chart,13,55,5.396604781
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,2,Bar Chart,15,3,3.599912842
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,14,Bar Chart,29,55,4.707359132
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,18,Bar Chart,35,55,4.330916878
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,44,Bar Chart,35,55,4.330916878
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,4,Bar Chart,45,4,5.361943774
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,7,Bar Chart,46,45,0.169925001
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,5,Bar Chart,47,1,5.527477006
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,28,Bar Chart,69,99,4.912889336
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,58,Bar Chart,69,55,3.820178962
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,55,Bar Chart,80,55,4.651051691
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,1,Bar Chart,85,2,6.37721053
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,17,Bar Chart,86,55,4.960001932
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,32,Bar Chart,87,55,5.005624549
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,48,Bar Chart,90,55,5.13442632
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,3,Bar Chart,95,1,6.556506055
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,60,Bar Chart,96,55,5.361943774
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,36,Bar Chart,2,55,5.731319031
cc8164d9-e381-232c-637f-843f28716af0,6,Bar Chart,75,75,-3
cc8164d9-e381-232c-637f-843f28716af0,7,Bar Chart,59,67,3.022367813
cc8164d9-e381-232c-637f-843f28716af0,9,Bar Chart,68,50,4.17990909
cc8164d9-e381-232c-637f-843f28716af0,11,Bar Chart,20,25,2.357552005
cc8164d9-e381-232c-637f-843f28716af0,12,Bar Chart,42,33,3.189824559
cc8164d9-e381-232c-637f-843f28716af0,15,Bar Chart,25,30,2.357552005
cc8164d9-e381-232c-637f-843f28716af0,19,Bar Chart,7,1,2.614709844
cc8164d9-e381-232c-637f-843f28716af0,22,Bar Chart,78,85,2.832890014
cc8164d9-e381-232c-637f-843f28716af0,26,Bar Chart,58,60,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,27,Bar Chart,35,25,3.339850003
cc8164d9-e381-232c-637f-843f28716af0,29,Bar Chart,45,30,3.918863237
cc8164d9-e381-232c-637f-843f28716af0,31,Bar Chart,52,50,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,32,Bar Chart,66,67,0.169925001
cc8164d9-e381-232c-637f-843f28716af0,37,Bar Chart,67,50,4.098032083
cc8164d9-e381-232c-637f-843f28716af0,39,Bar Chart,50,50,-3
cc8164d9-e381-232c-637f-843f28716af0,44,Bar Chart,87,70,4.098032083
cc8164d9-e381-232c-637f-843f28716af0,47,Bar Chart,54,60,2.614709844
cc8164d9-e381-232c-637f-843f28716af0,52,Bar Chart,10,10,-3
cc8164d9-e381-232c-637f-843f28716af0,60,Bar Chart,16,5,3.4757334309663976]
cc8164d9-e381-232c-637f-843f28716af0,1,Bar Chart,83,67,4.011227255
4b72a75e-b325-45f1-24d7-b1a01ce265fa,28,Bar Chart,55,60,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,1,Bar Chart,75,80,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,3,Bar Chart,57,60,1.64385619
4b72a75e-b325-45f1-24d7-b1a01ce265fa,5,Bar Chart,66,70,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,8,Bar Chart,21,70,5.618385502
4b72a75e-b325-45f1-24d7-b1a01ce265fa,9,Bar Chart,92,90,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,12,Bar Chart,71,80,3.189824559
4b72a75e-b325-45f1-24d7-b1a01ce265fa,14,Bar Chart,80,85,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,17,Bar Chart,25,30,2.357552005
4b72a75e-b325-45f1-24d7-b1a01ce265fa,18,Bar Chart,11,10,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,19,Bar Chart,57,70,3.714245518
4b72a75e-b325-45f1-24d7-b1a01ce265fa,22,Bar Chart,31,30,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,24,Bar Chart,12,10,1.087462841
4b72a75e-b325-45f1-24d7-b1a01ce265fa,25,Bar Chart,40,40,-3
4b72a75e-b325-45f1-24d7-b1a01ce265fa,36,Bar Chart,19,20,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,41,Bar Chart,52,15,5.214319121
4b72a75e-b325-45f1-24d7-b1a01ce265fa,46,Bar Chart,53,60,2.832890014
4b72a75e-b325-45f1-24d7-b1a01ce265fa,54,Bar Chart,14,10,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,56,Bar Chart,100,100,-3
4b72a75e-b325-45f1-24d7-b1a01ce265fa,2,Bar Chart,22,10,3.599912842
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,51,Circle Chart,3,55,5.703903573
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,52,Circle Chart,5,55,5.647458426
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,41,Circle Chart,10,55,5.495855027
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,27,Circle Chart,17,88,6.152284842
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,46,Circle Chart,26,55,4.864186145
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,42,Circle Chart,31,55,4.592457037
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,59,Circle Chart,43,55,3.599912842
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,22,Circle Chart,45,55,3.339850003
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,16,Circle Chart,46,55,3.189824559
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,21,Circle Chart,52,55,1.64385619
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,31,Circle Chart,63,55,3.022367813
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,34,Circle Chart,65,55,3.339850003
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,45,Circle Chart,70,55,3.918863237
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,25,Circle Chart,72,55,4.098032083
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,19,Circle Chart,73,55,4.17990909
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,47,Circle Chart,76,55,4.400879436
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,6,Circle Chart,79,4,6.231221181
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,26,Circle Chart,80,77,1.64385619
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,11,Circle Chart,82,88,2.614709844
ace45c46-cb11-aa2a-3bcb-b6d29ea688b2,54,Circle Chart,89,55,5.092757141
cc8164d9-e381-232c-637f-843f28716af0,3,Circle Chart,22,10,3.599912842
cc8164d9-e381-232c-637f-843f28716af0,4,Circle Chart,25,15,3.339850003
cc8164d9-e381-232c-637f-843f28716af0,5,Circle Chart,1,5,2.044394119
cc8164d9-e381-232c-637f-843f28716af0,8,Circle Chart,37,90,5.731319031
cc8164d9-e381-232c-637f-843f28716af0,17,Circle Chart,89,85,2.044394119
cc8164d9-e381-232c-637f-843f28716af0,18,Circle Chart,55,40,3.918863237
cc8164d9-e381-232c-637f-843f28716af0,23,Circle Chart,38,40,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,25,Circle Chart,61,45,4.011227255
cc8164d9-e381-232c-637f-843f28716af0,28,Circle Chart,71,50,4.400879436
cc8164d9-e381-232c-637f-843f28716af0,40,Circle Chart,46,45,0.169925001
cc8164d9-e381-232c-637f-843f28716af0,43,Circle Chart,31,20,3.475733431
cc8164d9-e381-232c-637f-843f28716af0,46,Circle Chart,74,60,3.820178962
cc8164d9-e381-232c-637f-843f28716af0,48,Circle Chart,72,60,3.599912842
cc8164d9-e381-232c-637f-843f28716af0,49,Circle Chart,28,25,1.64385619
cc8164d9-e381-232c-637f-843f28716af0,50,Circle Chart,91,75,4.011227255
cc8164d9-e381-232c-637f-843f28716af0,51,Circle Chart,42,30,3.599912842
cc8164d9-e381-232c-637f-843f28716af0,55,Circle Chart,93,95,1.087462841
cc8164d9-e381-232c-637f-843f28716af0,56,Circle Chart,21,15,2.614709844
cc8164d9-e381-232c-637f-843f28716af0,57,Circle Chart,47,35,3.599912842
cc8164d9-e381-232c-637f-843f28716af0,58,Circle Chart,29,30,0.169925001
4b72a75e-b325-45f1-24d7-b1a01ce265fa,4,Circle Chart,97,100,1.64385619
4b72a75e-b325-45f1-24d7-b1a01ce265fa,6,Circle Chart,5,1,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,7,Circle Chart,29,10,4.257387843
4b72a75e-b325-45f1-24d7-b1a01ce265fa,10,Circle Chart,13,5,3.022367813
4b72a75e-b325-45f1-24d7-b1a01ce265fa,11,Circle Chart,49,40,3.189824559
4b72a75e-b325-45f1-24d7-b1a01ce265fa,21,Circle Chart,7,1,2.614709844
4b72a75e-b325-45f1-24d7-b1a01ce265fa,23,Circle Chart,6,2,2.044394119
4b72a75e-b325-45f1-24d7-b1a01ce265fa,26,Circle Chart,40,40,-3
